МО,Вид учреждения,Тип учреждения,Количество аппаратов
"ГБУЗ ""ГВВ № 1 ДЗМ""",Взрослое,Стационарное,1
"ГБУЗ ""ГВВ № 2 ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГВВ № 3 ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ им. А.К. Ерамишанцева ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ им. В.В. Вересаева ДЗМ""",Взрослое,Стационарное,3
"ГБУЗ ""ГКБ им. В.В. Виноградова ДЗМ""",Взрослое,Стационарное,1
"ГБУЗ ""ГКБ им. Д.Д. Плетнёва ДЗМ""",Взрослое,Стационарное,3
"ГБУЗ ""ГКБ им. Д.Д. Плетнёва ДЗМ"", ЛДП № 1",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ им. Е.О. Мухина ДЗМ""",Взрослое,Стационарное,1
"ГБУЗ ""ГКБ им. И.В. Давыдовского ДЗМ""",Взрослое,Стационарное,3
"ГБУЗ ""ГКБ им. М.П. Кончаловского ДЗМ""",Взрослое,Стационарное,3
"ГБУЗ ""ГКБ им. С. И. Спасокукоцкого ДЗМ""",Взрослое,Стационарное,3
"ГБУЗ ""ГКБ им. С.П. Боткина ДЗМ""",Взрослое,Стационарное,4
"ГБУЗ ""ГКБ им. С.С. Юдина ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ им. С.С. Юдина ДЗМ"", Территория № М1",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ им. С.С. Юдина ДЗМ"", Филиал ""АТЦ Москва""",Взрослое,Стационарное,1
"ГБУЗ ""ГКБ им. Ф.И. Иноземцева ДЗМ""",Взрослое,Стационарное,3
"ГБУЗ ""ГКБ им. Ф.И. Иноземцева ДЗМ"", Филиал ""Сокольники""",Взрослое,Стационарное,1
"ГБУЗ ""ГКБ им. братьев Бахрушиных ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ имени В.М. Буянова ДЗМ""",Взрослое,Стационарное,1
"ГБУЗ ""ГКБ имени В.П. Демихова ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ имени М.Е.Жадкевича ДЗМ""",Взрослое,Стационарное,1
"ГБУЗ ""ГКБ № 1 им. Н.И. Пирогова ДЗМ""",Взрослое,Стационарное,3
"ГБУЗ ""ГКБ № 13 ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ № 15 им. О.М.Филатова ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ № 17 ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ № 24 ДЗМ""",Взрослое,Стационарное,1
"ГБУЗ ""ГКБ № 24 ДЗМ"", Филиал ""ВВЦ Павильон № 75""",Взрослое,Стационарное,1
"ГБУЗ ""ГКБ № 29 им. Н.Э. Баумана ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ № 31 ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ № 4 ДЗМ""",Взрослое,Стационарное,1
"ГБУЗ ""ГКБ № 40 ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ № 40 ДЗМ"", Коммунарка",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ № 51 ДЗМ""",Взрослое,Стационарное,1
"ГБУЗ ""ГКБ № 52 ДЗМ""",Взрослое,Стационарное,3
"ГБУЗ ""ГКБ № 67 им. Л.А.Ворохобова ДЗМ""",Взрослое,Стационарное,3
"ГБУЗ ""ГКБ № 67 им. Л.А.Ворохобова ДЗМ"", ГПЦ",Взрослое,Стационарное,1
"ГБУЗ ""ГКБ № 67 им. Л.А.Ворохобова ДЗМ"", Филиал ""ЛДК""",Взрослое,Стационарное,1
"ГБУЗ ""ДГКБ им. З.А. Башляевой ДЗМ""",Детское,Стационарное,2
"ГБУЗ ""ДГКБ им. Н.Ф. Филатова ДЗМ""",Детское,Стационарное,2
"ГБУЗ ""ДИКБ № 6 ДЗМ Территория № 1""",Детское,Стационарное,1
"ГБУЗ ""Детская ГКБ Святого Владимира ДЗМ""",Детское,Стационарное,2
"ГБУЗ ""Детская ГКБ № 9 им. Г.Н. Сперанского ДЗМ""",Детское,Стационарное,1
"ГБУЗ ""МКНЦ им. А.С. Логинова ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""МНПЦ борьбы с туберкулезом ДЗМ"", Клиника № 1",Взрослое,Стационарное,2
"ГБУЗ ""Морозовская детская ГКБ ДЗМ""",Детское,Стационарное,2
"ГБУЗ ""НИИ НДХиТ ДЗМ""",Детское,Стационарное,1
"ГБУЗ ""НИИ СП им. Н.В. Склифосовского ДЗМ""",Взрослое,Стационарное,3
"ГБУЗ ""НПЦ ДП ДЗМ""",Детское,Стационарное,1
"ГБУЗ ""НПЦ спец. мед. помощи детям им. В.Ф. Войно-Ясенецкого ДЗМ""",Детское,Стационарное,1
Инфекционная больница в ТиНАО,Взрослое,Стационарное,2
"ГБУЗ ""ГКБ имени В.М. Буянова ДЗМ""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ № 15 им. О.М.Филатова ДЗМ""",Взрослое,Стационарное,4
"ГБУЗ ""ГКБ № 52 ДЗМ""",Взрослое,Стационарное,4
"ГБУЗ ""ГКБ № 40 ДЗМ"", Коммунарка",Взрослое,Стационарное,3
"ГБУЗ ""ГКБ № 40 ДЗМ"", Коммунарка",Взрослое,Стационарное,4
"ГБУЗ ""Троицкая ГБ ДЗМ"", Детская поликлиника",Детское,Стационарное,1
"ГБУЗ ""НИИ СП им. Н.В. Склифосовского ДЗМ""",Взрослое,Стационарное,4
"ГБУЗ ""ГКБ им. С.С. Юдина ДЗМ"", Филиал ""АТЦ Москва""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ им. Ф.И. Иноземцева ДЗМ""",Взрослое,Стационарное,4
"ГБУЗ ""ГКБ № 67 им. Л.А.Ворохобова ДЗМ""",Взрослое,Стационарное,4
"ГБУЗ ""ГКБ № 67 им. Л.А.Ворохобова ДЗМ"", Филиал ""ЛДК""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ № 24 ДЗМ"", Филиал ""ВВЦ Павильон № 75""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ им. Ф.И. Иноземцева ДЗМ"", Филиал ""Сокольники""",Взрослое,Стационарное,2
"ГБУЗ ""ГКБ № 1 им. Н.И. Пирогова ДЗМ""",Взрослое,Стационарное,4
"ГБУЗ ""ГКБ № 31 ДЗМ""",Взрослое,Стационарное,3
"ГБУЗ ""Детская ГКБ № 9 им. Г.Н. Сперанского ДЗМ""",Детское,Стационарное,2
"ГБУЗ ""ГКБ им. С. И. Спасокукоцкого ДЗМ""",Взрослое,Стационарное,4
"ГБУЗ ""ГКБ им. Д.Д. Плетнёва ДЗМ""",Взрослое,Стационарное,4
"ГБУЗ ""Троицкая ГБ ДЗМ"", Филиал № 2",Взрослое,Стационарное,1
